Step,Link,Average Link Speed,Average Link Occupancy,Average Running Vehicles,Average Halting Vehicles,Average CO Emission,Average CO2 Emission,Average HC Emission,Average PMx Emission,Average NOx Emission,Average Fuel Consumption
2001 - 2050,gneE39,12.296587742383434,0.09299619914279501,5.18,0.0,164.22211885595524,13047.501758614504,1.0519102892288017,0.21108932385879325,5.188531421291055,5.608563469748589
2001 - 2050,gneE40,5.406742221460276,0.2346511733465798,17.9,7.54,1527.064884519771,44604.85682890698,8.00125174334949,0.9270939935913804,19.240802270049254,19.174216135612493
2001 - 2050,gneE41,6.0011753905405705,0.16122271189800763,12.22,4.16,820.5996650173693,24541.39989221048,4.309319266922483,0.4891623005155158,10.447140553467426,10.549586579467153
2001 - 2050,gneE42,12.049053165884997,0.09253723430789464,5.16,0.0,144.0947205692671,12327.546480405967,0.9436575372175942,0.19714205357257367,4.864826088906962,5.299081843676736
2001 - 2050,gneE44,7.806104795331257,0.08588031399474925,6.62,2.26,415.64481007369204,15848.306631784113,2.265054495463098,0.3039450437782186,6.593857782112243,6.8126238069048055
2001 - 2050,gneE45,7.988633650064392,0.015267090559335774,0.82,0.32,40.92280469079275,1318.7069613234014,0.21700336645518856,0.024538862619790835,0.5443782524382749,0.5668717747732083
2001 - 2050,gneE45-n,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001 - 2050,gneE47,0.15302886615543332,0.2506366723259762,23.62,21.92,3265.878143121465,52570.24465850051,16.105115780306598,1.3140872961155343,24.081325357246918,22.599203335413076
2001 - 2050,gneE47-n,12.601530834303192,0.01764796507368408,1.68,0.0,55.05721297464493,4318.710111731471,0.3513064103838232,0.07005016823112249,1.7192357864075927,1.8564291745937487
2001 - 2050,gneE48,12.891512719510272,0.017662708390430742,1.7,0.02,54.01519222912851,4716.167529535131,0.3541818917499183,0.07531244941742916,1.856585859798594,2.0272767771069398
2001 - 2050,gneE48-n,0.20034117238244625,0.27572069202846555,26.0,23.44,3381.8219379705934,54647.089143700934,16.68192207274789,1.3650129550603114,25.032996951967075,23.491998975241543
2001 - 2050,gneE49,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001 - 2050,gneE49-n,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001 - 2050,gneE51,6.66092985895397,0.09961592789882878,5.3,0.76,245.27877247751346,12298.141227135678,1.4027293478025018,0.2105645266008748,4.967519540268773,5.286504847896996
2001 - 2050,gneE52,7.247457099810647,0.16193029693592093,8.38,3.1,621.2656093532806,19714.50759781363,3.2930401857387204,0.4075735591038019,8.492271202199712,8.474599961848487
2001 - 2050,gneE53,13.865496999844362,0.003489171150803795,0.18,0.0,3.477593506733895,384.51457211300897,0.024863783480118376,0.006062953121786309,0.14901189810804363,0.16528576131510256
2001 - 2050,gneE53-n,9.081978500662904,0.035129892143605145,1.86,0.52,83.14416419570834,3756.9377309787,0.46602817277909225,0.06547083249683724,1.5280724395598495,1.6149701378337227
2001 - 2050,gneE54,1.7095520809278606,0.0819392664870065,7.68,5.52,912.3743361024218,16867.982709027132,4.550158322748109,0.3995262942109875,7.593607000189382,7.2512235869477255
2001 - 2050,gneE54-n,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001 - 2050,gneE55,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001 - 2050,gneE55-n,1.066180050451876,0.13726787045032884,12.92,9.9,1740.6379221426607,31087.06947479254,8.655656725810434,0.7490702946618272,14.089054471179129,13.363767298005435
2001 - 2050,gneE56,13.614386179928998,0.006914151977125882,0.34,0.0,4.183949284080189,587.7085772819106,0.03242117440847247,0.0068359910383076735,0.21176333791433394,0.25263262834991673
2001 - 2050,gneE56-n,13.923768015538998,0.0022555217746922634,0.1,0.0,1.7280002950641875,244.07424165115015,0.012753772687753781,0.0033662743697194953,0.09023320431843684,0.10491699862467437
2001 - 2050,gneE57,7.934696848211237,0.1120293202379029,5.82,0.94,292.65269205147126,12644.897262843333,1.628039672555711,0.2329534152889784,5.2586906474480815,5.435566991789625
2001 - 2050,gneE58,6.514131260064893,0.06781850626595758,3.52,0.42,173.41929161803276,9111.445201512699,1.002438970834719,0.15893350021508032,3.70707755183939,3.9166526527069694
2001 - 2050,gneE59,5.288008280841591,0.1843406542654703,9.58,5.76,1088.118200940345,24002.507991099945,5.518191451914209,0.5406708450139996,10.627193341446082,10.318082158042088
2001 - 2050,gneE60,5.665964718131899,0.1335648225719847,6.94,3.06,611.8428296905388,17319.124762042342,3.191967493134103,0.35722537501713103,7.416327889690029,7.444967703503716
2001 - 2050,gneE61,11.05166259368755,0.06443460085435432,3.42,1.06,125.56444776406799,6028.614291265208,0.7135248106293395,0.11034364807128931,2.470569996316356,2.5914676420330465
2001 - 2050,gneE62,7.145035193957179,0.1061700600597638,5.54,2.02,434.9137562750028,12080.333227204905,2.262704208369682,0.24888274053555992,5.193444321660628,5.192974783556558
2001 - 2050,gneE63,12.88781619335961,0.06413425635930908,25.64,0.0,493.98427486834987,55386.17787918087,3.523751338053002,0.7924937120483346,21.002607362973716,23.80817085043134
2001 - 2050,gneE63-n,10.890273568764053,0.07675871153155399,30.46,0.78,975.6218064797727,67200.96719899237,6.0036887906211325,1.08887315694802,26.590338358737682,28.886947032521153
2001 - 2050,gneE64,12.936191268455032,0.05872270985267144,23.48,0.0,471.6886096134928,50479.421379676256,3.311277473851707,0.7484831684382768,19.318943416125197,21.698941253922996
2001 - 2050,gneE64-n,10.717677794405608,0.0799163746648092,31.72,0.8,1059.0266489644348,72103.98367822744,6.499767006719534,1.1774390733615956,28.706147648392868,30.994538137282756
2001 - 2050,gneE65,12.725062414216914,0.0644730282855221,25.78,0.0,474.0406244968258,53056.0150395965,3.383084953247854,0.757627899097569,20.131616604105744,22.806534130356464
2001 - 2050,gneE65-n,8.940348288949128,0.09581188570587626,38.12,2.64,1401.9908971642785,79783.73558476339,8.241017913727337,1.354998570459627,32.301112960164026,34.295844285309535
2001 - 2050,gneE66,12.67378447945734,0.06758024473034766,26.98,0.0,574.5021870079128,59951.02045719213,3.9987497551031344,0.8889427307686169,22.982636291202567,25.770384601269612
2001 - 2050,gneE66-n,10.196708704286298,0.08243429476855976,32.78,0.5,1127.905451805715,71500.71648614512,6.796487931451675,1.1853776614055394,28.603692520659543,30.735254660378494
2051 - 2100,gneE32,7.108512328000407,0.13726988096467974,10.48,1.34,379.7615787028279,15673.3013808183,2.09514374238259,0.28951646892569094,6.506430434125778,6.7373794072592
2051 - 2100,gneE33,11.680559855388074,0.12385323138554688,6.9,0.0,228.42734533436243,18553.106396067094,1.474199176313947,0.3063182541645789,7.406485049831557,7.975175063958818
2051 - 2100,gneE34,7.737598204191329,0.1301713558018348,9.84,3.58,875.6397377874181,27218.41038049483,4.6265882179984565,0.5512783143720675,11.599890036231605,11.700312144978883
2051 - 2100,gneE35,6.80798275500168,0.15474171698086633,11.78,0.16,506.8754042750178,18994.311321699224,2.750422708960059,0.3527775357097785,7.947198569711033,8.164992143386005
2051 - 2100,gneE36,10.840724456379066,0.1376170600238199,7.46,0.0,247.29808716438689,17268.387922562233,1.5269736028602157,0.2834941742628257,6.9023711697342485,7.422960238046279
2051 - 2100,gneE37,9.141433490890337,0.09587831406995731,7.22,1.84,474.66427964400975,19914.55969803328,2.6264767028199696,0.36809489641233034,8.21119118294675,8.560540054547113
2051 - 2100,gneE38,6.542061150569827,0.13986369851169336,10.66,0.82,354.4142206972829,13399.838919850023,1.923724401706518,0.23615961444281455,5.50222998135911,5.760142512919215
2051 - 2100,gneE39,11.55514674344223,0.11310939993289243,6.26,0.0,227.91420077701522,16633.88507443551,1.4276302611527785,0.28328935389023746,6.72876406664242,7.150188331945348
2051 - 2100,gneE40,8.144236464513398,0.13565678086295002,10.42,4.02,574.5987186964503,21088.025373049597,3.110973692234379,0.4064043491145998,8.809409135788114,9.065005656526903
2051 - 2100,gneE41,8.277418625519031,0.1300571960186138,9.92,0.48,337.21445547370837,14989.659680903904,1.8829285832387113,0.2617790060911915,6.097896604367815,6.443510352342099
2051 - 2100,gneE42,11.999501284577985,0.12907168345926145,7.1,0.0,225.3985024032191,18316.65118943192,1.4550517167081845,0.3029247562906342,7.311849093800589,7.873532727258009
2051 - 2100,gneE44,8.82850783406011,0.10570212123107399,8.04,2.26,571.888258606009,22511.91961851458,3.1312385852143603,0.42918512094920513,9.378829881404313,9.677058972874589
2051 - 2100,gneE45,9.385398959658115,0.01739749718974638,0.88,0.28,70.97635480052556,2841.823006277313,0.3899369189423737,0.053627188888675396,1.1779504869964383,1.2215968930804557
2051 - 2100,gneE45-n,12.961717088852692,0.021632361045885194,1.16,0.0,45.24993449094278,3330.459165903396,0.2839434866158939,0.05562592547559045,1.3399055524844425,1.4316218440064794
2051 - 2100,gneE47,0.3399368038785069,0.2623959568539718,24.7,22.8,3877.9005659313093,64036.87384158878,19.161047329622114,1.5856892262853903,29.25207144672491,27.528480277352966
2051 - 2100,gneE47-n,9.527304654002014,0.018006703224292056,1.64,0.78,69.90521268055858,1847.3763383139462,0.36131395317817744,0.03715411931569382,0.7874568326417922,0.7941363640387107
2051 - 2100,gneE48,9.32175352558638,0.01809971393397019,1.64,1.02,105.21425002770326,2223.0063853672314,0.5310678085068893,0.04941333650314695,0.980057324338523,0.9556200526245218
2051 - 2100,gneE48-n,0.28607254598451076,0.27908766964683196,26.28,24.46,4108.301821619267,67381.66848001818,20.288938988802283,1.674194682531049,30.816097742838974,28.966371944890273
2051 - 2100,gneE49,13.094355653786,0.02095838587756122,1.14,0.0,54.39546184117447,3922.662521029506,0.34020282415627245,0.06965206347666297,1.6049020194241042,1.6861793390156021
2051 - 2100,gneE49-n,12.882777436725307,0.016790897838609015,0.88,0.0,27.398207131466364,2400.9106974762262,0.18066736355562124,0.037499218530498875,0.9427997919242824,1.0320489090683664
2051 - 2100,gneE51,5.422450295549755,0.023591732829848087,1.24,0.52,89.15519880908549,2463.248602577382,0.4633624054762624,0.04894296788242187,1.0428413297795034,1.0588807248210101
2051 - 2100,gneE52,8.22982765817707,0.06340950032865371,3.34,1.34,191.6988892702222,6725.04018401726,1.0302818364528117,0.1315768620348243,2.8197754494262632,2.890864290662591
2051 - 2100,gneE53,13.687715245789088,0.002280675079823628,0.12,0.0,1.6418723873189163,209.61662976947636,0.012269769299092459,0.002621015851690697,0.07708692571951531,0.09010569211663898
2051 - 2100,gneE53-n,9.263966487340795,0.018190397525892247,0.9,0.86,147.36155224855037,2394.2185814815066,0.7272145708132292,0.05970776660317273,1.0964302550201723,1.0292396193217668
2051 - 2100,gneE54,1.432736521214598e-05,0.05305602716468587,5.0,5.0,781.0464308156434,12441.181829672996,3.848615547468535,0.31270822866348164,5.70906563517641,5.348292255635362
2051 - 2100,gneE54-n,13.400154001242235,0.006837060223919147,0.68,0.0,36.59760704476565,2683.52986296891,0.2300518727917697,0.048000094102293785,1.0982616797489864,1.153530086131066
2051 - 2100,gneE55,13.585419944423565,0.006527518043670983,0.64,0.0,43.795349160813224,3154.3690677447244,0.2746064232631665,0.059796371202376575,1.3109301688598316,1.3559186100012781
2051 - 2100,gneE55-n,1.0269270322679025,0.12215689279263277,11.52,9.88,1492.1016474360295,25854.82238255117,7.4012797033010225,0.6280517965456766,11.715627570615984,11.114553093198799
2051 - 2100,gneE56,13.889999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
